id,customer_id,currency,total_price,created_at,refunded_at
1,1,USD,100.01,2021-01-03 8:36:00,
2,2,USD,41.4,2021-01-15 15:26:00,
3,3,USD,29.97,2021-01-25 15:41:00,
4,1,USD,104.22,2021-02-01 15:31:00,
5,4,USD,100.01,2021-02-03 12:26:00,
6,5,USD,100.01,2021-02-12 23:16:00,2021-02-16 21:31:00
7,6,USD,119.99,2021-02-23 7:20:00,
8,4,USD,49.95,2021-03-01 12:21:00,
9,7,USD,94.23,2021-03-01 14:29:00,
10,8,USD,100.01,2021-03-03 23:42:00,
11,9,USD,161.07,2021-03-04 2:47:00,2021-03-16 21:31:00
12,10,USD,124.98,2021-03-09 1:25:00,
13,5,USD,31.41,2021-03-13 1:31:00,
14,1,USD,134.6,2021-03-14 1:23:00,